Java,Release,Run,Type,Time,VmArgs
1.6.0,0.9.0-pub,Get last,GapList,0.458,
1.6.0,0.9.0-pub,Get last,ArrayList,0.564,
1.6.0,0.9.0-pub,Get last,LinkedList,0.157,
1.6.0,0.9.0-pub,Get first,GapList,0.44,
1.6.0,0.9.0-pub,Get first,ArrayList,0.443,
1.6.0,0.9.0-pub,Get first,LinkedList,0.153,
1.6.0,0.9.0-pub,Get random,GapList,3.575,
1.6.0,0.9.0-pub,Get random,ArrayList,4.036,
1.6.0,0.9.0-pub,Get random,LinkedList,7680.0,
1.6.0,0.9.0-pub,Add last,GapList,2.1,
1.6.0,0.9.0-pub,Add last,ArrayList,1.5,
1.6.0,0.9.0-pub,Add last,LinkedList,1.3,
1.6.0,0.9.0-pub,Add first,GapList,2.5,
1.6.0,0.9.0-pub,Add first,ArrayList,6259.0,
1.6.0,0.9.0-pub,Add first,LinkedList,1.3,
1.6.0,0.9.0-pub,Add random,GapList,5.2,
1.6.0,0.9.0-pub,Add random,ArrayList,3.0,
1.6.0,0.9.0-pub,Add random,LinkedList,25.4,
1.6.0,0.9.0-pub,Add near 0.1,GapList,396.0,
1.6.0,0.9.0-pub,Add near 0.1,ArrayList,2743.0,
1.6.0,0.9.0-pub,Add near 0.1,LinkedList,13711.0,
1.6.0,0.9.0-pub,Add near 0.01,GapList,55.0,
1.6.0,0.9.0-pub,Add near 0.01,ArrayList,4624.0,
1.6.0,0.9.0-pub,Add near 0.01,LinkedList,11437.0,
1.6.0,0.9.0-pub,Add iter 2.0,GapList,11.0,
1.6.0,0.9.0-pub,Add iter 2.0,ArrayList,2169.0,
1.6.0,0.9.0-pub,Add iter 2.0,LinkedList,6.0,
1.6.0_45,0.9.0,Get last,GapList,0.234,
1.6.0_45,0.9.0,Get last,ArrayList,0.221,
1.6.0_45,0.9.0,Get last,LinkedList,0.076,
1.6.0_45,0.9.0,Get first,GapList,0.237,
1.6.0_45,0.9.0,Get first,ArrayList,0.206,
1.6.0_45,0.9.0,Get first,LinkedList,0.076,
1.6.0_45,0.9.0,Get random,GapList,1.641,
1.6.0_45,0.9.0,Get random,ArrayList,2.102,
1.6.0_45,0.9.0,Get random,LinkedList,2147.591,
1.6.0_45,0.9.0,Add last,GapList,0.124,
1.6.0_45,0.9.0,Add last,ArrayList,0.113,
1.6.0_45,0.9.0,Add last,LinkedList,0.13,
1.6.0_45,0.9.0,Add first,GapList,0.159,
1.6.0_45,0.9.0,Add first,ArrayList,103.793,
1.6.0_45,0.9.0,Add first,LinkedList,0.137,
1.6.0_45,0.9.0,Add random,GapList,79.958,
